x,y,z
6414469.8951308,2069296.7045841,1.70141e+38
6415469.8951308,2069296.7045841,1.70141e+38
6416469.8951308,2069296.7045841,1.70141e+38
6417469.8951308,2069296.7045841,1.70141e+38
6418469.8951308,2069296.7045841,1.70141e+38
6419469.8951308,2069296.7045841,1.70141e+38
6420469.8951308,2069296.7045841,1.70141e+38
6421469.8951308,2069296.7045841,1.70141e+38
6422469.8951308,2069296.7045841,1.70141e+38
6423469.8951308,2069296.7045841,1.70141e+38
6424469.8951308,2069296.7045841,1.70141e+38
6425469.8951308,2069296.7045841,1.70141e+38
6426469.8951308,2069296.7045841,1.70141e+38
6427469.8951308,2069296.7045841,1.70141e+38
6428469.8951308,2069296.7045841,1.70141e+38
6429469.8951308,2069296.7045841,1.70141e+38
6430469.8951308,2069296.7045841,1.70141e+38
6431469.8951308,2069296.7045841,1.70141e+38
6432469.8951308,2069296.7045841,1.70141e+38
6433469.8951308,2069296.7045841,1.70141e+38
6434469.8951308,2069296.7045841,1.70141e+38
6435469.8951308,2069296.7045841,1.70141e+38
6436469.8951308,2069296.7045841,1.70141e+38
6437469.8951308,2069296.7045841,1.70141e+38
6438469.8951308,2069296.7045841,1.70141e+38
6439469.8951308,2069296.7045841,1.70141e+38
6440469.8951308,2069296.7045841,1.70141e+38
6441469.8951308,2069296.7045841,1.70141e+38
6442469.8951308,2069296.7045841,1.70141e+38
6443469.8951308,2069296.7045841,1.70141e+38
6444469.8951308,2069296.7045841,1.70141e+38
6445469.8951308,2069296.7045841,1.70141e+38
6446469.8951308,2069296.7045841,1.70141e+38
6447469.8951308,2069296.7045841,1.70141e+38
6448469.8951308,2069296.7045841,1.70141e+38
6449469.8951308,2069296.7045841,1.70141e+38
6450469.8951308,2069296.7045841,1.70141e+38
6451469.8951308,2069296.7045841,1.70141e+38
6452469.8951308,2069296.7045841,1.70141e+38
6453469.8951308,2069296.7045841,1.70141e+38
6454469.8951308,2069296.7045841,1.70141e+38
6455469.8951308,2069296.7045841,1.70141e+38
6456469.8951308,2069296.7045841,1.70141e+38
6457469.8951308,2069296.7045841,1.70141e+38
6458469.8951308,2069296.7045841,1.70141e+38
6459469.8951308,2069296.7045841,1.70141e+38
6460469.8951308,2069296.7045841,1.70141e+38
6461469.8951308,2069296.7045841,1.70141e+38
6462469.8951308,2069296.7045841,1.70141e+38
6463469.8951308,2069296.7045841,1.70141e+38
6464469.8951308,2069296.7045841,1.70141e+38
6465469.8951308,2069296.7045841,1.70141e+38
6466469.8951308,2069296.7045841,1.70141e+38
6467469.8951308,2069296.7045841,1.70141e+38
6468469.8951308,2069296.7045841,1.70141e+38
6469469.8951308,2069296.7045841,1.70141e+38
6470469.8951308,2069296.7045841,1.70141e+38
6471469.8951308,2069296.7045841,1.70141e+38
6472469.8951308,2069296.7045841,1.70141e+38
6473469.8951308,2069296.7045841,1.70141e+38
6474469.8951308,2069296.7045841,1.70141e+38
6475469.8951308,2069296.7045841,1.70141e+38
6476469.8951308,2069296.7045841,1.70141e+38
6477469.8951308,2069296.7045841,1.70141e+38
6478469.8951308,2069296.7045841,1.70141e+38
6479469.8951308,2069296.7045841,1.70141e+38
6480469.8951308,2069296.7045841,1.70141e+38
6481469.8951308,2069296.7045841,1.70141e+38
6482469.8951308,2069296.7045841,1.70141e+38
6483469.8951308,2069296.7045841,1.70141e+38
6484469.8951308,2069296.7045841,1.70141e+38
6485469.8951308,2069296.7045841,1.70141e+38
6486469.8951308,2069296.7045841,1.70141e+38
6487469.8951308,2069296.7045841,1.70141e+38
6488469.8951308,2069296.7045841,1.70141e+38
6489469.8951308,2069296.7045841,1.70141e+38
6490469.8951308,2069296.7045841,1.70141e+38
6491469.8951308,2069296.7045841,1.70141e+38
6492469.8951308,2069296.7045841,1.70141e+38
6493469.8951308,2069296.7045841,1.70141e+38
6494469.8951308,2069296.7045841,1.70141e+38
6495469.8951308,2069296.7045841,1.70141e+38
6496469.8951308,2069296.7045841,1.70141e+38
6497469.8951308,2069296.7045841,1.70141e+38
6498469.8951308,2069296.7045841,1.70141e+38
